Package,New Name of Package,Package Priority,Developer in Master List,PR Number,Link of PR Raised,PR Status,PR Creation Date,Upgrade Required,Final Upgrade Decision (Y/N),Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded,Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success,Bulk Build Number of SRPMs,Developer from under review sheet,Under Review PR Link,Reviewer,Review Status,PR Origin,TopicBranch,Additional Bulk Build Status
SDL,sdl12-compat,P1,Jyoti,12980,https://github.com/microsoft/azurelinux/pull/12980,DRAFT,2025-03-17T07:13:26Z,Y,Y,Built,1.2.15,45.azl3,1,1,sdl12-compat-1.2.68-3.fc41.src.rpm,Default Initialized,Default Initialized,1.2.68,3.fc41,EXISTS_IN_EXT,1.2.15,N,0,Jyoti,NA,NA,NA,https://github.com/jykanase/azurelinux.git,topic_sdl12-compat,Not Found
SDL2,NA,P1,Jyoti,12894,https://github.com/microsoft/azurelinux/pull/12894,DRAFT,2025-03-11T14:15:37Z,Y,Y,Failed,2.24.0,2.azl3,1,1,SDL2-2.30.9-1.fc41.src.rpm,Default Initialized,Default Initialized,2.30.9,1.fc41,EXISTS_IN_EXT,2.24.0,N,0,Jyoti,NA,NA,NA,https://github.com/jykanase/azurelinux.git,topic_SDL2,Failed
SDL_sound,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,1.0.3,32.azl3,1,1,SDL_sound-1.0.3-37.fc41.src.rpm,Default Initialized,Default Initialized,1.0.3,37.fc41,EXISTS_IN_EXT,1.0.3,N,0,Jyoti,NA,NA,NA,NA,NA,Failed
SuperLU,NA,P1,Jyoti,10744,https://github.com/microsoft/azurelinux/pull/10744,MERGED,2024-10-16T07:01:47Z,Y,Y,Built,5.2.1,10.azl3,1,1,SuperLU-6.0.1-6.fc41.src.rpm,Default Initialized,Default Initialized,6.0.1,6.fc41,EXISTS_IN_EXT,7.0.0,N,0,Jyoti,NA,Suresh,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_SuperLU,Built
Xaw3d,NA,P1,Jyoti,10762,https://github.com/microsoft/azurelinux/pull/10762,MERGED,2024-10-17T06:48:47Z,Y,Y,Built,1.6.3,3.azl3,1,1,Xaw3d-1.6.6-2.fc41.src.rpm,Default Initialized,Default Initialized,1.6.6,2.fc41,EXISTS_IN_EXT,1.6.6,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10762,Bala,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_Xaw3d,Built
a52dec,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,0.7.4,38.azl3,1,1,a52dec-0.7.4-49.fc41.src.rpm,Default Initialized,Default Initialized,0.7.4,49.fc41,EXISTS_IN_EXT,0.7.4,Y,1,Jyoti,NA,NA,NA,NA,NA,Built
accountsservice,NA,P1,Jyoti,10766,https://github.com/microsoft/azurelinux/pull/10766,MERGED,2024-10-17T13:07:05Z,Y,Y,Failed,0.6.55,4.azl3,1,1,accountsservice-23.13.9-5.fc41.src.rpm,Default Initialized,Default Initialized,23.13.9,5.fc41,EXISTS_IN_EXT,23.13.9,N,0,Jyoti,https://github.com/microsoft/azurelinux/pull/10766,Bala,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_accountsservice,Built
acpid,NA,P1,Jyoti,10696,https://github.com/microsoft/azurelinux/pull/10696,MERGED,2024-10-11T08:08:30Z,Y,Y,Built,2.0.32,3.azl3,1,1,acpid-2.0.34-10.fc41.src.rpm,Default Initialized,Default Initialized,2.0.34,10.fc41,EXISTS_IN_EXT,2.0.34,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10696,Suresh,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_acpid,Built
adcli,NA,CP_batch1,Jyoti,NA,NA,NA,NA,N,N,Built,0.9.2,2.azl3,1,1,adcli-0.9.2-7.fc41.src.rpm,Default Initialized,Default Initialized,0.9.2,7.fc41,EXISTS_IN_EXT,0.9.2,N,0,Jyoti,NA,NA,NA,NA,NA,Built
adobe-mappings-cmap,NA,P1,Jyoti,10765,https://github.com/microsoft/azurelinux/pull/10765,MERGED,2024-10-17T12:11:54Z,Y,Y,Built,20171205,8.azl3,1,1,adobe-mappings-cmap-20231115-1.fc41.src.rpm,Default Initialized,Default Initialized,20231115,1.fc41,EXISTS_IN_EXT,20231115,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10765,Bala,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_adobe-mappings-cmap,Built
adobe-mappings-pdf,NA,P1,Jyoti,10792,https://github.com/microsoft/azurelinux/pull/10792,MERGED,2024-10-21T07:52:08Z,Y,Y,Built,20180407,6.azl3,1,1,adobe-mappings-pdf-20190401-8.fc41.src.rpm,Default Initialized,Default Initialized,20190401,8.fc41,EXISTS_IN_EXT,20230118,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10792,Bala,Dev Approved,https://github.com/jykanase/azurelinux.git,topic_adobe-mappings-pdf,Built
advancecomp,NA,P1,Jagadeesh,10697,https://github.com/microsoft/azurelinux/pull/10697,MERGED,2024-10-11T10:07:18Z,Y,Y,Built,2.5,1.azl3,1,1,advancecomp-2.6-8.fc41.src.rpm,Default Initialized,Default Initialized,2.6,8.fc41,EXISTS_IN_EXT,2.6,N,0,Jagadeesh,NA,Falak,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_advancecomp,Built
alsa-firmware,NA,CP_batch1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.2.4,8.azl3,1,1,alsa-firmware-1.2.4-13.fc41.src.rpm,Default Initialized,Default Initialized,1.2.4,13.fc41,EXISTS_IN_EXT,1.2.4,N,0,Jagadeesh,NA,NA,NA,NA,NA,Built
alsa-plugins,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,1.2.7.1,3.azl3,1,1,alsa-plugins-1.2.12-3.fc41.src.rpm,Default Initialized,Default Initialized,1.2.12,3.fc41,EXISTS_IN_EXT,1.2.7.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
amtk,NA,P1,Jagadeesh,12935,https://github.com/microsoft/azurelinux/pull/12935,OPEN,2025-03-14T05:49:58Z,Y,Y,Built,5.0.2,3.azl3,1,1,amtk-5.6.1-7.fc41.src.rpm,Default Initialized,Default Initialized,5.6.1,7.fc41,EXISTS_IN_EXT,5.0.2,Y,1,Jagadeesh,NA,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_amtk,Built
amtterm,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.6,10.azl3,1,1,amtterm-1.6-21.fc41.src.rpm,Default Initialized,Default Initialized,1.6,21.fc41,EXISTS_IN_EXT,1.6,Y,1,Jagadeesh,NA,NA,NA,NA,NA,Built
annobin,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Bld Ver,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,annobin-12.69-1.fc41.src.rpm,Default Initialized,Default Initialized,12.69,1.fc41,MOVED_TO_CORE,Not Found,N,0,Jagadeesh,NA,NA,NA,NA,NA,Not Found
ansible-freeipa,NA,CP_batch2,Jagadeesh,11028,https://github.com/microsoft/azurelinux/pull/11028,OPEN,2024-11-12T14:53:43Z,Y,Y,Built,0.3.4,2.azl3,1,1,ansible-freeipa-1.14.2-1.fc41.src.rpm,Default Initialized,Default Initialized,1.14.2,1.fc41,EXISTS_IN_EXT,0.3.4,N,0,Jagadeesh,NA,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_ansible-freeipa,Failed
aopalliance,NA,P1,Jagadeesh,10671,https://github.com/microsoft/azurelinux/pull/10671,MERGED,2024-10-09T08:04:51Z,N,Y,Failed,1.0,4.azl3,1,1,aopalliance-1.0-40.fc41.src.rpm,Default Initialized,Default Initialized,1.0,40.fc41,EXISTS_IN_EXT,1.0,N,0,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10671,Falak,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_aopalliance,Built
apache-commons-beanutils,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.9.4,5.azl3,1,1,apache-commons-beanutils-1.9.4-21.fc41.src.rpm,Default Initialized,Default Initialized,1.9.4,21.fc41,EXISTS_IN_EXT,1.9.4,N,0,Jagadeesh,NA,NA,NA,NA,NA,Built
apache-commons-codec,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,1.15,2.azl3,1,1,apache-commons-codec-1.17.1-2.fc41.src.rpm,Default Initialized,Default Initialized,1.17.1,2.fc41,EXISTS_IN_EXT,1.15,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-collections,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,3.2.2,7.azl3,1,1,apache-commons-collections-3.2.2-37.fc41.src.rp,Default Initialized,Default Initialized,3.2.2,37.fc41.src.rp,EXISTS_IN_EXT,3.2.2,N,0,Jagadeesh,NA,NA,NA,NA,NA,Built
apache-commons-collections4,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,4.1,2.azl3,1,1,apache-commons-collections4-4.4-16.fc41.src.rpm,Default Initialized,Default Initialized,4.4,16.fc41,EXISTS_IN_EXT,4.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-compress,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,1.19,3.azl3,1,1,apache-commons-compress-1.25.0-7.fc41.src.rpm,Default Initialized,Default Initialized,1.25.0,7.fc41,EXISTS_IN_EXT,1.19,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-daemon,NA,CP_batch1,Jagadeesh,12654,https://github.com/microsoft/azurelinux/pull/12654,MERGED,2025-02-27T11:28:05Z,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,1.2.3,2.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,1.2.3,N,0,Jagadeesh,NA,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_apache-commons-daemon,Built
apache-commons-dbcp,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,2.1.1,8.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.1.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-digester,NA,CP_batch2,Jagadeesh,13141,https://github.com/microsoft/azurelinux/pull/13141,OPEN,2025-03-27T15:57:18Z,N,N,Failed,2.1,4.azl3,1,1,apache-commons-digester-2.1-31.fc41.src.rpm,Default Initialized,Default Initialized,2.1,31.fc41,EXISTS_IN_EXT,2.1,N,0,Jagadeesh,NA,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_apache-commons-digester,Failed
apache-commons-httpclient,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Built,3.1,14.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,3.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-io,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,2.14.0,1.azl3,1,1,apache-commons-io-2.16.1-2.fc41.src.rpm,Default Initialized,Default Initialized,2.16.1,2.fc41,EXISTS_IN_EXT,2.14.0,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-jexl,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,2.1.1,3.azl3,1,1,apache-commons-jexl-3.4.0-3.fc41.src.rpm,Default Initialized,Default Initialized,3.4.0,3.fc41,EXISTS_IN_EXT,2.1.1,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-lang,NA,CP_batch2,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,2.6,17.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.6,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-net,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,3.6,3.azl3,1,1,apache-commons-net-3.11.0-4.fc41.src.rpm,Default Initialized,Default Initialized,3.11.0,4.fc41,EXISTS_IN_EXT,3.6,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-pool,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.6,1.azl3,1,1,apache-commons-pool-1.6-38.fc41.src.rpm,Default Initialized,Default Initialized,1.6,38.fc41,EXISTS_IN_EXT,1.6,N,0,Jagadeesh,NA,NA,NA,NA,NA,Built
apache-commons-pool2,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,2.4.2,7.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.4.2,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-validator,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,1.5.0,1.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,1.5.0,N,0,Jagadeesh,NA,NA,NA,NA,NA,Failed
apache-commons-vfs2,apache-commons-vfs,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,2.2,3.azl3,1,1,apache-commons-vfs-2.9.0-7.fc41.src.rpm,Default Initialized,Default Initialized,2.9.0,7.fc41,EXISTS_IN_EXT,2.2,N,0,Jagadeesh,NA,NA,NA,NA,NA,Not Found
apache-parent,NA,P1,Jagadeesh,11281,https://github.com/microsoft/azurelinux/pull/11281,MERGED,2024-12-02T18:45:16Z,Y,Y,Built,21,2.azl3,1,1,apache-parent-31-6.fc41.src.rpm,Default Initialized,Default Initialized,31,6.fc41,EXISTS_IN_EXT,31,N,0,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11281,NA,NA,https://github.com/durgajagadeesh/azurelinux_djpalli.git,Topic_apache-parent,Built
argparse-manpage,NA,P1,Kevin,NA,NA,NA,NA,Revisit No Bld Ver,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,argparse-manpage-4.6-3.fc41.src.rpm,Default Initialized,Default Initialized,4.6,3.fc41,REMOVED_FROM_BOTH,Not Found,N,0,Kevin,NA,NA,NA,NA,NA,Not Found
args4j,NA,CP_batch2,Kevin,NA,NA,NA,NA,N,N,Failed,2.33,2.azl3,1,1,args4j-2.33-27.fc41.src.rpm,Default Initialized,Default Initialized,2.33,27.fc41,EXISTS_IN_EXT,2.33,N,0,Kevin,NA,NA,NA,NA,NA,Failed
arptables,NA,P1,Kevin,NA,NA,NA,NA,N,N,Built,0.0.5,3.azl3,1,1,arptables-0.0.5-13.fc41.src.rpm,Default Initialized,Default Initialized,0.0.5,13.fc41,EXISTS_IN_EXT,0.0.5,Y,1,Kevin,NA,NA,NA,NA,NA,Built
arpwatch,NA,P1,Akhila,12937,https://github.com/microsoft/azurelinux/pull/12937,OPEN,2025-03-14T06:48:30Z,Y,Y,Built,2.1a15,51.azl3,1,1,arpwatch-3.7-9.fc41.src.rpm,Default Initialized,Default Initialized,3.7,9.fc41,EXISTS_IN_EXT,2.1a15,Y,1,Kevin,NA,NA,NA,https://github.com/akhila-guruju/azurelinux-test.git,topic_arpwatch,Built
asio,NA,P1,Kevin,10678,https://github.com/microsoft/azurelinux/pull/10678,MERGED,2024-10-09T22:15:12Z,Y,Y,Built,1.10.8,12.azl3,1,1,asio-1.30.2-4.fc41.src.rpm,Default Initialized,Default Initialized,1.30.2,4.fc41,EXISTS_IN_EXT,1.31.0,Y,1,Kevin,https://github.com/microsoft/azurelinux/pull/10678,Bala,Dev Approved,https://github.com/kevin-b-lockwood/azurelinux.git,kevin-b-lockwood/asio-1.31.0-1,Built
aspell-en,NA,P0,Aninda,12930,https://github.com/microsoft/azurelinux/pull/12930,OPEN,2025-03-13T23:41:01Z,Y,Y,Built,2019.10.06,4.azl3,1,1,aspell-en-2020.12.07-11.fc41.src.rpm,Default Initialized,Default Initialized,2020.12.07,11.fc41,EXISTS_IN_EXT,2019.10.06,Y,1,Kevin,NA,NA,NA,https://github.com/aninda-al/azurelinux-test.git,upgrade-aspell-en,Built
audiofile,NA,P1,Kevin,NA,NA,NA,NA,N,N,Built,0.3.6,27.azl3,1,1,audiofile-0.3.6-39.fc41.src.rpm,Default Initialized,Default Initialized,0.3.6,39.fc41,EXISTS_IN_EXT,0.3.6,Y,1,Kevin,NA,NA,NA,NA,NA,Built
authselect,NA,P1,Kevin,11575,https://github.com/microsoft/azurelinux/pull/11575,MERGED,2024-12-19T23:10:40Z,Revisit No Dnld Ver,Revisit No Dnld Ver,Built,1.2.1,2.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,MOVED_TO_CORE,Not Found,N,0,Kevin,https://github.com/microsoft/azurelinux/pull/11575,NA,NA,https://github.com/kevin-b-lockwood/azurelinux.git,kevin-b-lockwood/authselect-remove,Not Found
babeltrace,NA,P1,Kevin,10590,https://github.com/microsoft/azurelinux/pull/10590,MERGED,2024-10-01T15:48:39Z,Y,Y,Built,1.5.7,7.azl3,1,1,babeltrace-1.5.11-9.fc41.src.rpm,Default Initialized,Default Initialized,1.5.11,9.fc41,EXISTS_IN_EXT,1.5.11,Y,1,Kevin,https://github.com/microsoft/azurelinux/pull/10590,Falak,In Review,https://github.com/kevin-b-lockwood/azurelinux.git,kevin-b-lockwood/babeltrace-1.5.11-1,Built
babl,NA,P1,Kevin,11132,https://github.com/microsoft/azurelinux/pull/11132,MERGED,2024-11-19T00:52:44Z,Y,Y,Failed,0.1.82,3.azl3,1,1,babl-0.1.110-1.fc41.src.rpm,Default Initialized,Default Initialized,0.1.110,1.fc41,EXISTS_IN_EXT,0.1.108,N,0,Kevin,https://github.com/microsoft/azurelinux/pull/11132,NA,NA,https://github.com/kevin-b-lockwood/azurelinux.git,kevin-b-lockwood/babl-0.1.108-1,Built
baekmuk-ttf-fonts,NA,P1,Kevin,NA,NA,NA,NA,N,N,Failed,2.2,52.azl3,1,1,baekmuk-ttf-fonts-2.2-63.fc41.src.rpm,Default Initialized,Default Initialized,2.2,63.fc41,EXISTS_IN_EXT,2.2,N,0,Kevin,NA,NA,NA,NA,NA,Failed
base64coder,NA,P1,Kevin,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Built,20101219,4.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,20101219,N,0,Kevin,NA,NA,NA,NA,NA,Built
bats,NA,P1,Kevin,10692,https://github.com/microsoft/azurelinux/pull/10692,MERGED,2024-10-10T21:59:43Z,Y,Y,Built,1.2.1,2.azl3,1,1,bats-1.11.0-3.fc41.src.rpm,Default Initialized,Default Initialized,1.11.0,3.fc41,EXISTS_IN_EXT,1.11.0,Y,1,Kevin,https://github.com/microsoft/azurelinux/pull/10692,Bala,In Review,https://github.com/kevin-b-lockwood/azurelinux.git,kevin-b-lockwood/bats-1.11.0-1,Built
bcache-tools,NA,P1,Kevin,NA,NA,NA,NA,N,N,Built,1.1,3.azl3,1,1,bcache-tools-1.1-8.fc41.src.rpm,Default Initialized,Default Initialized,1.1,8.fc41,EXISTS_IN_EXT,1.1,Y,1,Kevin,NA,NA,NA,NA,NA,Built
bcel,NA,P1,Kevin,NA,NA,NA,NA,Y,Y,Failed,5.2,37.azl3,1,1,bcel-6.8.1-3.fc41.src.rpm,Default Initialized,Default Initialized,6.8.1,3.fc41,EXISTS_IN_EXT,5.2,N,0,Kevin,NA,NA,NA,NA,NA,Failed
bea-stax,NA,P1,Kevin,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Built,1.2.0,40.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,1.2.0,N,0,Kevin,NA,NA,NA,NA,NA,Built
beust-jcommander,NA,P1,Kevin,10630,https://github.com/microsoft/azurelinux/pull/10630,MERGED,2024-10-04T22:34:19Z,Y,Y,Built,1.78,1.azl3,1,1,beust-jcommander-1.82-11.fc41.src.rpm,Default Initialized,Default Initialized,1.82,11.fc41,EXISTS_IN_EXT,2.0,N,0,Kevin,https://github.com/microsoft/azurelinux/pull/10630,NA,NA,https://github.com/kevin-b-lockwood/azurelinux.git,kevin-b-lockwood/beust-jcommander-2.0-1,Built
biosdevname,NA,P1,Kevin,NA,NA,NA,NA,N,N,Built,0.7.3,7.azl3,1,1,biosdevname-0.7.3-17.fc41.src.rpm,Default Initialized,Default Initialized,0.7.3,17.fc41,EXISTS_IN_EXT,0.7.3,Y,1,Kevin,NA,NA,NA,NA,NA,Built
blosc,NA,CP_batch1,Kevin,11172,https://github.com/microsoft/azurelinux/pull/11172,MERGED,2024-11-21T00:53:45Z,Y,Y,Built,1.21.4,2.azl3,1,1,blosc-1.21.6-1.fc41.src.rpm,Default Initialized,Default Initialized,1.21.6,1.fc41,EXISTS_IN_EXT,1.21.6,N,0,Kevin,https://github.com/microsoft/azurelinux/pull/11172,NA,NA,https://github.com/kevin-b-lockwood/azurelinux.git,kevin-b-lockwood/blosc-1.21.6-1,Built
bogofilter,NA,P1,Kevin,NA,NA,NA,NA,Revisit No Bld Ver,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,bogofilter-1.2.5-16.fc41.src.rpm,Default Initialized,Default Initialized,1.2.5,16.fc41,REMOVED_FROM_BOTH,Not Found,N,0,Kevin,NA,NA,NA,NA,NA,Not Found
bolt,NA,CP_batch1,Akarsh,11208,https://github.com/microsoft/azurelinux/pull/11208,MERGED,2024-11-25T18:07:30Z,Y,Y,Built,0.9.2,2.azl3,1,1,bolt-0.9.8-3.fc41.src.rpm,Default Initialized,Default Initialized,0.9.8,3.fc41,EXISTS_IN_EXT,0.9.8,N,0,Akarsh,https://github.com/microsoft/azurelinux/pull/11208,Suresh,Dev Approved,https://github.com/AkarshHCL/azurelinux.git,topic_bolt,Built
boom-boot,NA,CP_batch2,Akarsh,13241,https://github.com/microsoft/azurelinux/pull/13241,DRAFT,2024-11-04T07:48:08Z,Y,Y,Built,1.2,2.azl3,1,1,boom-boot-1.6.5-1.fc41.src.rpm,Default Initialized,Default Initialized,1.6.5,1.fc41,EXISTS_IN_EXT,1.2,Y,1,Akarsh,https://github.com/microsoft/azurelinux/pull/10919,NA,NA,https://github.com/AkarshHCL/azurelinux.git,topic_boom-boot2,Failed
booth,NA,P1,Akarsh,NA,NA,NA,NA,Y,Y,Failed,1.0,8.azl3,1,1,booth-1.2-2.fc41.src.rpm,Default Initialized,Default Initialized,1.2,2.fc41,EXISTS_IN_EXT,1.0,N,0,Akarsh,NA,NA,NA,NA,NA,Failed
botan2,NA,P1,Akarsh,11051,https://github.com/microsoft/azurelinux/pull/11051,OPEN,2024-11-13T10:51:44Z,Y,Y,Built,2.14.0,2.azl3,1,1,botan2-2.19.5-4.fc41.src.rpm,Default Initialized,Default Initialized,2.19.5,4.fc41,EXISTS_IN_EXT,2.14.0,Y,1,Akarsh,NA,NA,NA,https://github.com/AkarshHCL/azurelinux.git,topic2_botan2,Built
