Package,New Name of Package,Package Priority,Developer in Master List,PR Number,Link of PR Raised,PR Status,PR Creation Date,Upgrade Required,Final Upgrade Decision (Y/N),Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded,Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success,Bulk Build Number of SRPMs,Developer from under review sheet,Under Review PR Link,Reviewer,Review Status
SDL2,NA,P1,Jyoti,NA,NA,NA,NA,Y,Y,Failed,2.24.0,2.azl3,1,1,SDL2-2.30.9-1.fc41.src.rpm,Default Initialized,Default Initialized,2.30.9,1.fc41,EXISTS_IN_EXT,2.24.0,N,0,Jyoti,NA,NA,NA
SDL_sound,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,1.0.3,32.azl3,1,1,SDL_sound-1.0.3-37.fc41.src.rpm,Default Initialized,Default Initialized,1.0.3,37.fc41,EXISTS_IN_EXT,1.0.3,N,0,Jyoti,NA,NA,NA
SuperLU,NA,P1,Jyoti,10744,https://github.com/microsoft/azurelinux/pull/10744,OPEN,2024-10-16T07:01:47Z,Y,Y,Built,5.2.1,10.azl3,1,1,SuperLU-6.0.1-6.fc41.src.rpm,Default Initialized,Default Initialized,6.0.1,6.fc41,EXISTS_IN_EXT,5.2.1,N,0,Jyoti,NA,Suresh,Dev Approved
Xaw3d,NA,P1,Jyoti,10762,https://github.com/microsoft/azurelinux/pull/10762,MERGED,2024-10-17T06:48:47Z,Y,Y,Built,1.6.3,3.azl3,1,1,Xaw3d-1.6.6-2.fc41.src.rpm,Default Initialized,Default Initialized,1.6.6,2.fc41,EXISTS_IN_EXT,1.6.3,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10762,Bala,Dev Approved
a52dec,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,0.7.4,38.azl3,1,1,a52dec-0.7.4-49.fc41.src.rpm,Default Initialized,Default Initialized,0.7.4,49.fc41,EXISTS_IN_EXT,0.7.4,Y,1,Jyoti,NA,NA,NA
accountsservice,NA,P1,Jyoti,10766,https://github.com/microsoft/azurelinux/pull/10766,MERGED,2024-10-17T13:07:05Z,Y,Y,Failed,0.6.55,4.azl3,1,1,accountsservice-23.13.9-5.fc41.src.rpm,Default Initialized,Default Initialized,23.13.9,5.fc41,EXISTS_IN_EXT,0.6.55,N,0,Jyoti,https://github.com/microsoft/azurelinux/pull/10766,Bala,Dev Approved
acpid,NA,P1,Jyoti,10696,https://github.com/microsoft/azurelinux/pull/10696,MERGED,2024-10-11T08:08:30Z,Y,Y,Built,2.0.32,3.azl3,1,1,acpid-2.0.34-10.fc41.src.rpm,Default Initialized,Default Initialized,2.0.34,10.fc41,EXISTS_IN_EXT,2.0.32,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10696,Suresh,Dev Approved
adcli,NA,CP_batch1,Jyoti,NA,NA,NA,NA,N,N,Built,0.9.2,2.azl3,1,1,adcli-0.9.2-7.fc41.src.rpm,Default Initialized,Default Initialized,0.9.2,7.fc41,EXISTS_IN_EXT,0.9.2,N,0,Jyoti,NA,NA,NA
adobe-mappings-cmap,NA,P1,Jyoti,10765,https://github.com/microsoft/azurelinux/pull/10765,MERGED,2024-10-17T12:11:54Z,Y,Y,Built,20171205,8.azl3,1,1,adobe-mappings-cmap-20231115-1.fc41.src.rpm,Default Initialized,Default Initialized,20231115,1.fc41,EXISTS_IN_EXT,20171205,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10765,Bala,Dev Approved
adobe-mappings-pdf,NA,P1,Jyoti,10792,https://github.com/microsoft/azurelinux/pull/10792,MERGED,2024-10-21T07:52:08Z,Y,Y,Built,20180407,6.azl3,1,1,adobe-mappings-pdf-20190401-8.fc41.src.rpm,Default Initialized,Default Initialized,20190401,8.fc41,EXISTS_IN_EXT,20180407,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10792,Bala,Dev Approved
advancecomp,NA,P1,Jagadeesh,10697,https://github.com/microsoft/azurelinux/pull/10697,OPEN,2024-10-11T10:07:18Z,Y,Y,Built,2.5,1.azl3,1,1,advancecomp-2.6-8.fc41.src.rpm,Default Initialized,Default Initialized,2.6,8.fc41,EXISTS_IN_EXT,2.5,N,0,Jagadeesh,NA,Falak,NA
alsa-firmware,NA,CP_batch1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.2.4,8.azl3,1,1,alsa-firmware-1.2.4-13.fc41.src.rpm,Default Initialized,Default Initialized,1.2.4,13.fc41,EXISTS_IN_EXT,1.2.4,N,0,Jagadeesh,NA,NA,NA
alsa-plugins,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,1.2.7.1,3.azl3,1,1,alsa-plugins-1.2.12-3.fc41.src.rpm,Default Initialized,Default Initialized,1.2.12,3.fc41,EXISTS_IN_EXT,1.2.7.1,N,0,Jagadeesh,NA,NA,NA
amtk,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,5.0.2,3.azl3,1,1,amtk-5.6.1-7.fc41.src.rpm,Default Initialized,Default Initialized,5.6.1,7.fc41,EXISTS_IN_EXT,5.0.2,Y,1,Jagadeesh,NA,NA,NA
amtterm,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.6,10.azl3,1,1,amtterm-1.6-21.fc41.src.rpm,Default Initialized,Default Initialized,1.6,21.fc41,EXISTS_IN_EXT,1.6,Y,1,Jagadeesh,NA,NA,NA
annobin,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Bld Ver,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,annobin-12.69-1.fc41.src.rpm,Default Initialized,Default Initialized,12.69,1.fc41,MOVED_TO_CORE,Not Found,N,0,Jagadeesh,NA,NA,NA
ansible-freeipa,NA,P1,Jagadeesh,11028,https://github.com/microsoft/azurelinux/pull/11028,OPEN,2024-11-12T14:53:43Z,Y,Y,Built,0.3.4,2.azl3,1,1,ansible-freeipa-1.14.2-1.fc41.src.rpm,Default Initialized,Default Initialized,1.14.2,1.fc41,EXISTS_IN_EXT,0.3.4,N,0,Jagadeesh,NA,NA,NA
aopalliance,NA,P1,Jagadeesh,10671,https://github.com/microsoft/azurelinux/pull/10671,MERGED,2024-10-09T08:04:51Z,N,Y,Failed,1.0,4.azl3,1,1,aopalliance-1.0-40.fc41.src.rpm,Default Initialized,Default Initialized,1.0,40.fc41,EXISTS_IN_EXT,1.0,N,0,Jagadeesh,https://github.com/microsoft/azurelinux/pull/10671,Falak,NA
apache-commons-beanutils,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.9.4,5.azl3,1,1,apache-commons-beanutils-1.9.4-21.fc41.src.rpm,Default Initialized,Default Initialized,1.9.4,21.fc41,EXISTS_IN_EXT,1.9.4,N,0,Jagadeesh,NA,NA,NA
apache-commons-codec,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,1.15,2.azl3,1,1,apache-commons-codec-1.17.1-2.fc41.src.rpm,Default Initialized,Default Initialized,1.17.1,2.fc41,EXISTS_IN_EXT,1.15,N,0,Jagadeesh,NA,NA,NA
apache-commons-collections,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,3.2.2,7.azl3,1,1,apache-commons-collections-3.2.2-37.fc41.src.rp,Default Initialized,Default Initialized,3.2.2,37.fc41.src.rp,EXISTS_IN_EXT,3.2.2,N,0,Jagadeesh,NA,NA,NA
apache-commons-collections4,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,4.1,2.azl3,1,1,apache-commons-collections4-4.4-16.fc41.src.rpm,Default Initialized,Default Initialized,4.4,16.fc41,EXISTS_IN_EXT,4.1,N,0,Jagadeesh,NA,NA,NA
apache-commons-compress,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,1.19,3.azl3,1,1,apache-commons-compress-1.25.0-7.fc41.src.rpm,Default Initialized,Default Initialized,1.25.0,7.fc41,EXISTS_IN_EXT,1.19,N,0,Jagadeesh,NA,NA,NA
apache-commons-daemon,NA,CP_batch1,Jagadeesh,12654,https://github.com/microsoft/azurelinux/pull/12654,OPEN,2025-02-27T11:28:05Z,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,1.2.3,2.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,1.2.3,N,0,Jagadeesh,NA,NA,NA
apache-commons-dbcp,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,2.1.1,8.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.1.1,N,0,Jagadeesh,NA,NA,NA
apache-commons-digester,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Failed,2.1,4.azl3,1,1,apache-commons-digester-2.1-31.fc41.src.rpm,Default Initialized,Default Initialized,2.1,31.fc41,EXISTS_IN_EXT,2.1,N,0,Jagadeesh,NA,NA,NA
apache-commons-httpclient,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Built,3.1,14.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,3.1,N,0,Jagadeesh,NA,NA,NA
apache-commons-io,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Built,2.14.0,1.azl3,1,1,apache-commons-io-2.16.1-2.fc41.src.rpm,Default Initialized,Default Initialized,2.16.1,2.fc41,EXISTS_IN_EXT,2.14.0,N,0,Jagadeesh,NA,NA,NA
apache-commons-jexl,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,2.1.1,3.azl3,1,1,apache-commons-jexl-3.4.0-3.fc41.src.rpm,Default Initialized,Default Initialized,3.4.0,3.fc41,EXISTS_IN_EXT,2.1.1,N,0,Jagadeesh,NA,NA,NA
apache-commons-lang,NA,CP_batch1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,2.6,17.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.6,N,0,Jagadeesh,NA,NA,NA
apache-commons-net,NA,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,3.6,3.azl3,1,1,apache-commons-net-3.11.0-4.fc41.src.rpm,Default Initialized,Default Initialized,3.11.0,4.fc41,EXISTS_IN_EXT,3.6,N,0,Jagadeesh,NA,NA,NA
apache-commons-pool,NA,P1,Jagadeesh,NA,NA,NA,NA,N,N,Built,1.6,1.azl3,1,1,apache-commons-pool-1.6-38.fc41.src.rpm,Default Initialized,Default Initialized,1.6,38.fc41,EXISTS_IN_EXT,1.6,N,0,Jagadeesh,NA,NA,NA
apache-commons-pool2,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,2.4.2,7.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,2.4.2,N,0,Jagadeesh,NA,NA,NA
apache-commons-validator,NA,P1,Jagadeesh,NA,NA,NA,NA,Revisit No Dnld Ver,Revisit No Dnld Ver,Failed,1.5.0,1.azl3,0,0,Default Initialized,Default Initialized,Default Initialized,Not Found,Not Found,EXISTS_IN_EXT,1.5.0,N,0,Jagadeesh,NA,NA,NA
apache-commons-vfs2,apache-commons-vfs,P1,Jagadeesh,NA,NA,NA,NA,Y,Y,Failed,2.2,3.azl3,1,1,apache-commons-vfs-2.9.0-7.fc41.src.rpm,Default Initialized,Default Initialized,2.9.0,7.fc41,EXISTS_IN_EXT,2.2,N,0,Jagadeesh,NA,NA,NA
apache-parent,NA,P1,Jagadeesh,11281,https://github.com/microsoft/azurelinux/pull/11281,MERGED,2024-12-02T18:45:16Z,Y,Y,Built,21,2.azl3,1,1,apache-parent-31-6.fc41.src.rpm,Default Initialized,Default Initialized,31,6.fc41,EXISTS_IN_EXT,21,N,0,Jagadeesh,https://github.com/microsoft/azurelinux/pull/11281,NA,NA
argparse-manpage,NA,P1,Kevin,NA,NA,NA,NA,Revisit No Bld Ver,Revisit No Bld Ver,Not Found,Not Found,Not Found,1,1,argparse-manpage-4.6-3.fc41.src.rpm,Default Initialized,Default Initialized,4.6,3.fc41,REMOVED_FROM_BOTH,Not Found,N,0,Kevin,NA,NA,NA
args4j,NA,P1,Kevin,NA,NA,NA,NA,N,N,Failed,2.33,2.azl3,1,1,args4j-2.33-27.fc41.src.rpm,Default Initialized,Default Initialized,2.33,27.fc41,EXISTS_IN_EXT,2.33,N,0,Kevin,NA,NA,NA
arptables,NA,P1,Kevin,NA,NA,NA,NA,N,N,Built,0.0.5,3.azl3,1,1,arptables-0.0.5-13.fc41.src.rpm,Default Initialized,Default Initialized,0.0.5,13.fc41,EXISTS_IN_EXT,0.0.5,Y,1,Kevin,NA,NA,NA
